code,img_file,img_d,img_c,img_manufacturer,imprint1,imprint2,color,shape,score,logo,Remarks,Check code,,,,
AMIN21,AMIN21_20200220_OTHER3.jpg,20/02/2020,Flavor Mix,"Otsuka Food Co., Ltd",,,,,,,,AMINOLEBAN EN (OR EQUIV) POWDER 50G/SACHET,,,,
AMIN21,AMIN21_20200220_OUT1.jpg,20/02/2020,Packaging,?,,,,,,,,AMINOLEBAN EN (OR EQUIV) POWDER 50G/SACHET,,,,
AMIO02,AMIO02_20200218_OUT1.jpg,18/02/2020,Content,Sanofi,,,,,,,,AMIODARONE HCL INJECTION 50MG/ML 3ML,,,,
AMIO02,AMIO02_20200218_OUT2.jpg,18/02/2020,Packaging,Sanofi,,,,,,,,AMIODARONE HCL INJECTION 50MG/ML 3ML,,,,
AMIO02,AMIO02_20200218_OUT3.jpg,18/02/2020,Packaging,Sanofi,,,,,,,,AMIODARONE HCL INJECTION 50MG/ML 3ML,,,,
AMIT02,AMIT02_20200213_INN1.jpg,13/02/2020,Loose pill,Actavis,C,AB,Yellow,Round,,,,AMITRIPTYLINE HCL TABLET 25MG,,,,
AMIT02,AMIT02_20200213_OUT1.jpg,13/02/2020,Packaging,Actavis,,,,,,,,AMITRIPTYLINE HCL TABLET 25MG,,,,
AMMO14,AMMO14_20200215_OUT1.jpg,15/02/2020,Packaging,Medipharma Limited,,,,,,,,AMMONIA AND IPECACUANHA MIXTURE,,,,
AMOR01,AMOR01_20200215_OUT1.jpg,15/02/2020,Packaging,Chanelle Medical,,,,,,,,AMOROLFINE (HCL) NAIL LACQUER 5% 2.5ML,,,,
AMOR01,AMOR01_20200215_OUT2.jpg,15/02/2020,Content,Chanelle Medical,,,,,,,,AMOROLFINE (HCL) NAIL LACQUER 5% 2.5ML,,,,
AMOR01,AMOR01_20200215_OUT3.jpg,15/02/2020,Packaging,Chanelle Medical,,,,,,,,AMOROLFINE (HCL) NAIL LACQUER 5% 2.5ML,,,,
AMPH01,AMPH01_20200406_OUT1.jpg,06/04/2020,Packaging & Content,Bristol-Myers Squibb,,,,,,,,AMPHOTERICIN B INJECTION 50MG,,,,
AMPH01,AMPH01_20200406_OUT2.jpg,06/04/2020,Packaging,Bristol-Myers Squibb,,,,,,,,AMPHOTERICIN B INJECTION 50MG,,,,
AMPI01,AMPI01_20200109_INN1.jpg,09/01/2020,Loose pill,APT Pharma,[LOGO],250,Red; White,Capsule,,APT,,AMPICILLIN CAPSULE 250MG,,,,
AMPI01,AMPI01_20200109_OUT1.jpg,09/01/2020,Packaging,APT Pharma,,,,,,,,AMPICILLIN CAPSULE 250MG,,,,
AMPI02,AMPI02_20200109_INN1.jpg,09/01/2020,Loose pill,APT Pharma,[LOGO],500,Red; White,Capsule,,APT,,AMPICILLIN CAPSULE 500MG,,,,
AMPI02,AMPI02_20200109_OUT1.jpg,09/01/2020,Packaging,APT Pharma,,,,,,,,AMPICILLIN CAPSULE 500MG,,,,
AMPI05,AMPI05_20200218_OUT1.jpg,18/02/2020,Content,"CSPC Zhongnuo Pharmaceutical (Shijiazhuang) Co., Ltd.",,,,,,,,AMPICILLIN (SODIUM) INJECTION 500MG,,,,
AMPI05,AMPI05_20200218_OUT2.jpg,18/02/2020,Packaging,"CSPC Zhongnuo Pharmaceutical (Shijiazhuang) Co., Ltd.",,,,,,,,AMPICILLIN (SODIUM) INJECTION 500MG,,,,
ANAG03,ANAG03_20200220_INN1.jpg,20/02/2020,Loose pill,Shire,[LOGO],063,White,Capsule,,Shire,,ANAGRELIDE (HCL) (AGRYLIN) CAPSULE 0.5MG,,,,
ANAG03,ANAG03_20200220_OUT1.jpg,20/02/2020,Packaging,Shire,,,,,,,,ANAGRELIDE (HCL) (AGRYLIN) CAPSULE 0.5MG,,,,
ANID02,ANID02_20200406_OUT1.jpg,06/04/2020,Packaging & Content,Pfizer,,,,,,,,ANIDULAFUNGIN INFUSION 100MG,,,,
ANID02,ANID02_20200406_OUT2.jpg,06/04/2020,Packaging,Pfizer,,,,,,,,ANIDULAFUNGIN INFUSION 100MG,,,,
ANID02,ANID02_20200406_OUT3.jpg,06/04/2020,Packaging,Pfizer,,,,,,,,ANIDULAFUNGIN INFUSION 100MG,,,,
ANTI07,ANTI07_20200317_OUT1.jpg,17/03/2020,Packaging & Content,Grifols Therapeutics Inc.,,,,,,,,ANTIRABIES IMMUNOGLOBULIN (HUMAN) INJECTION 150IU/ML 2ML,,,,
ANTI07,ANTI07_20200317_OUT2.jpg,17/03/2020,Packaging,Grifols Therapeutics Inc.,,,,,,,,ANTIRABIES IMMUNOGLOBULIN (HUMAN) INJECTION 150IU/ML 2ML,,,,
ANTI07,ANTI07_20200317_OUT3.jpg,17/03/2020,Packaging,Grifols Therapeutics Inc.,,,,,,,,ANTIRABIES IMMUNOGLOBULIN (HUMAN) INJECTION 150IU/ML 2ML,,,,
ANTI07,ANTI07_20200317_OUT4.jpg,17/03/2020,Packaging,Grifols Therapeutics Inc.,,,,,,,,ANTIRABIES IMMUNOGLOBULIN (HUMAN) INJECTION 150IU/ML 2ML,,,,
ANUS03,ANUS03_20200215_OUT1.jpg,15/02/2020,Packaging,Famar Orleans/ Johnson & Johnson,,,,,,,,ANUSOL (OR EQUIV) OINTMENT 25G,,,,
ANUS03,ANUS03_20200215_OUT2.jpg,15/02/2020,Packaging & Content,Famar Orleans/ Johnson & Johnson,,,,,,,,ANUSOL (OR EQUIV) OINTMENT 25G,,,,
ANUS04,ANUS04_20200215_OUT1.jpg,15/02/2020,Packaging,Farmea Angers/ Johnson & Johnson,,,,,,,,ANUSOL (OR EQUIV) RECTAL SUPPOSITORY,,,,
ANUS04,ANUS04_20200215_OUT2.jpg,15/02/2020,Content,Farmea Angers/ Johnson & Johnson,,,,,,,,ANUSOL (OR EQUIV) RECTAL SUPPOSITORY,,,,
AQUE10,AQUE10_20200215_OUT1.jpg,15/02/2020,Packaging,Medipharma Limited,,,,,,,,AQUEOUS CREAM 100G,,,,
ARIP07,ARIP07_20200218_OUT1.jpg,18/02/2020,Packaging,Terumo Corporation,,,,,,,,ARIPIPRAZOLE IM ER PF SYRINGE 300MG,,,,
ARIP07,ARIP07_20200218_OUT2.jpg,18/02/2020,Content,Terumo Corporation,,,,,,,,ARIPIPRAZOLE IM ER PF SYRINGE 300MG,,,,
ASCO02,ASCO02_20200109_INN1.jpg,09/01/2020,Loose pill,Sunward,[NOIMPRINT],[NOIMPRINT],Red,Round,,,,ASCORBIC ACID (VIT C) TABLET 100MG,,,,
ASCO02,ASCO02_20200109_OUT1.jpg,09/01/2020,Packaging,Sunward,,,,,,,,ASCORBIC ACID (VIT C) TABLET 100MG,,,,
ASPI01,ASPI01_20200211_INN1.jpg,11/02/2020,Loose pill,Synco,SYN,[NOIMPRINT],Pink,Round,,,,ASPIRIN TABLET 80MG,,,,
ASPI01,ASPI01_20200211_OUT1.jpg,11/02/2020,Packaging,Synco,,,,,,,,ASPIRIN TABLET 80MG,,,,
ATRO01,ATRO01_20200218_OUT1.jpg,18/02/2020,Content,Macarthys Laboratories Limited,,,,,,,,ATROPINE SULPHATE INJECTION 0.6MG/ML 1ML,,,,
ATRO01,ATRO01_20200218_OUT2.jpg,18/02/2020,Content,Macarthys Laboratories Limited,,,,,,,,ATROPINE SULPHATE INJECTION 0.6MG/ML 1ML,,,,
ATRO01,ATRO01_20200218_OUT3.jpg,18/02/2020,Packaging,Macarthys Laboratories Limited,,,,,,,,ATROPINE SULPHATE INJECTION 0.6MG/ML 1ML,,,,
ATRO01,ATRO01_20200218_OUT4.jpg,18/02/2020,Packaging,Macarthys Laboratories Limited,,,,,,,,ATROPINE SULPHATE INJECTION 0.6MG/ML 1ML,,,,
ATRO16,ATRO16_20200218_OUT1.jpg,18/02/2020,Packaging & Content,Ashford Laboratories Ltd.,,,,,,,,ATROPINE SULPHATE EYE DROPS 1% 10ML,,,,
ATRO16,ATRO16_20200218_OUT2.jpg,18/02/2020,Packaging,Ashford Laboratories Ltd.,,,,,,,,ATROPINE SULPHATE EYE DROPS 1% 10ML,,,,
ATRO16,ATRO16_20200218_OUT3.jpg,18/02/2020,Packaging,Ashford Laboratories Ltd.,,,,,,,,ATROPINE SULPHATE EYE DROPS 1% 10ML,,,,
AUGM04,AUGM04_20200218_OUT1.jpg,18/02/2020,Packaging & Content,GlaxoSmithKline,,,,,,,,AUGMENTIN (OR EQUIV) INJECTION 1.2G,,,,
AUGM04,AUGM04_20200218_OUT2.jpg,18/02/2020,Packaging,GlaxoSmithKline,,,,,,,,AUGMENTIN (OR EQUIV) INJECTION 1.2G,,,,
BACL01,BACL01_20200213_INN1.jpg,13/02/2020,Loose pill,APT Pharma,1 0,BF,White,Round,S1,,,BACLOFEN TABLET 10MG,,,,
BACL01,BACL01_20200213_OUT1.jpg,13/02/2020,Packaging,APT Pharma,,,,,,,,BACLOFEN TABLET 10MG,,,,
BCG 06,BCG 06_20200406_OUT1.jpg,06/04/2020,Packaging & Content,Japan BCG Laboratory,,,,,,,,BCG (IMMUNOBLADDER) I-VESICAL SUSPENSION 80MG,,,,
BCG 06,BCG 06_20200406_OUT2.jpg,06/04/2020,Packaging,Japan BCG Laboratory,,,,,,,,BCG (IMMUNOBLADDER) I-VESICAL SUSPENSION 80MG,,,,
BCG 06,BCG 06_20200406_OUT3.jpg,06/04/2020,Packaging,Japan BCG Laboratory,,,,,,,,BCG (IMMUNOBLADDER) I-VESICAL SUSPENSION 80MG,,,,
BECL02,BECL02_20200220_OUT1.jpg,20/02/2020,Packaging,Teva Pharmaceutical Industries Ltd.,,,,,,,,BECLOMETHASONE DIPROPIONATE INHALER 250MCG/DOSE 200DOSE(S),,,,
BECL02,BECL02_20200220_OUT2.jpg,20/02/2020,Packaging & Content,Teva Pharmaceutical Industries Ltd.,,,,,,,Inhaler inside,BECLOMETHASONE DIPROPIONATE INHALER 250MCG/DOSE 200DOSE(S),,,,
BECL06,BECL06_20200215_OUT1.jpg,15/02/2020,Packaging & Content,Teva,,,,,,,,BECLOMETHASONE DIPROPIONATE INHALER 50MCG/DOSE 200DOSE(S),,,,
BECL06,BECL06_20200215_OUT2.jpg,15/02/2020,Packaging,Teva,,,,,,,,BECLOMETHASONE DIPROPIONATE INHALER 50MCG/DOSE 200DOSE(S),,,,
BECL09,BECL09_20200215_OUT1.jpg,15/02/2020,Packaging,GlaxoSmithKline,,,,,,,Spray inside,BECLOMETHASONE DIPROPION AQ NAS SPRAY 50MCG/DOSE 200DOSE(S),,,,
BECL09,BECL09_20200215_OUT2.jpg,15/02/2020,Packaging,GlaxoSmithKline,,,,,,,,BECLOMETHASONE DIPROPION AQ NAS SPRAY 50MCG/DOSE 200DOSE(S),,,,
BENZ01,BENZ01_20200218_OUT1.jpg,18/02/2020,Content,North China Pharmaceutical Group Corp.,,,,,,,,BENZATHINE PENICILLIN INJECTION 1.2MU,,,,
BENZ01,BENZ01_20200218_OUT2.jpg,18/02/2020,Packaging,North China Pharmaceutical Group Corp.,,,,,,,,BENZATHINE PENICILLIN INJECTION 1.2MU,,,,
BENZ03,BENZ03_20200213_INN1.jpg,13/02/2020,Loose pill,Synco,BZ 2,S,White,Round,S1,Synco,,BENZHEXOL (TRIHEXYPHENIDYL) HCL TABLET 2MG,,,,
BENZ03,BENZ03_20200213_OUT1.jpg,13/02/2020,Packaging,Synco,,,,,,,,BENZHEXOL (TRIHEXYPHENIDYL) HCL TABLET 2MG,,,,
BENZ26,BENZ26_20200218_OUT1.jpg,18/02/2020,Content,North China Pharmaceutical Group Corp.,,,,,,,,BENZYLPENICILLIN(PENICILLIN G) SODIUM INJECTION 1MU (600MG),,,,
BENZ26,BENZ26_20200218_OUT2.jpg,18/02/2020,Packaging,North China Pharmaceutical Group Corp.,,,,,,,,BENZYLPENICILLIN(PENICILLIN G) SODIUM INJECTION 1MU (600MG),,,,
BENZ29,BENZ29_20200215_OUT1.jpg,15/02/2020,Packaging,Europharm Lab Co. Ltd.,,,,,,,,BENZYDAMINE HCL MOUTHWASH 22.5MG/15ML,,,,
BENZ29,BENZ29_20200215_OUT2.jpg,15/02/2020,Packaging,Europharm Lab Co. Ltd.,,,,,,,,BENZYDAMINE HCL MOUTHWASH 22.5MG/15ML,,,,
BENZ41,BENZ41_20200215_OUT1.jpg,15/02/2020,Packaging,Medipharma Limited,,,,,,,,BENZOIC ACID COMPOUND OINTMENT 20G,,,,
BENZ46,BENZ46_20200215_OUT1.jpg,15/02/2020,Packaging,Christo Pharmaceuticals Ltd.,,,,,,,,BENZYL BENZOATE APPN 25%,,,,
BENZ53,BENZ53_20200220_OUT1.jpg,20/02/2020,Packaging & Content,Galderma,,,,,,,,BENZOYL PEROXIDE GEL 5% 15G,,,,
BENZ53,BENZ53_20200220_OUT2.jpg,20/02/2020,Packaging,Galderma,,,,,,,,BENZOYL PEROXIDE GEL 5% 15G,,,,
BENZ53,BENZ53_20200220_OUT3.jpg,20/02/2020,Packaging,Galderma,,,,,,,,BENZOYL PEROXIDE GEL 5% 15G,,,,
BETA06,BETA06_20200220_OUT1.jpg,20/02/2020,Packaging & Content,GlaxoSmithKline,,,,,,,,BETAMETHASONE (VALERATE) SCALP APPN 0.1% 30ML,,,,
BETA06,BETA06_20200220_OUT2.jpg,20/02/2020,Packaging & Content,GlaxoSmithKline,,,,,,,,BETAMETHASONE (VALERATE) SCALP APPN 0.1% 30ML,,,,
BETA06,BETA06_20200220_OUT3.jpg,20/02/2020,Packaging,GlaxoSmithKline,,,,,,,,BETAMETHASONE (VALERATE) SCALP APPN 0.1% 30ML,,,,
BETA13,BETA13_20200215_OUT1.jpg,15/02/2020,Packaging,Taro Pharmaceuticals Inc.,,,,,,,,BETAMETHASONE (VALERATE) CREAM 0.1% 15G,,,,
BETA13,BETA13_20200215_OUT2.jpg,15/02/2020,Packaging,Taro Pharmaceuticals Inc.,,,,,,,,BETAMETHASONE (VALERATE) CREAM 0.1% 15G,,,,
BETA13,BETA13_20200215_OUT3.jpg,15/02/2020,Content,Taro Pharmaceuticals Inc.,,,,,,,,BETAMETHASONE (VALERATE) CREAM 0.1% 15G,,,,
BETA13,BETA13_20200215_OUT4.jpg,15/02/2020,Packaging & Content,Taro Pharmaceuticals Inc.,,,,,,,,BETAMETHASONE (VALERATE) CREAM 0.1% 15G,,,,
BETA21,BETA21_20200218_OUT1.jpg,18/02/2020,Packaging & Content,Alcon,,,,,,,,BETAXOLOL (HCL) EYE DROPS 0.25% 5ML,,,,
BETA21,BETA21_20200218_OUT2.jpg,18/02/2020,Packaging,Alcon,,,,,,,,BETAXOLOL (HCL) EYE DROPS 0.25% 5ML,,,,
BETA21,BETA21_20200218_OUT3.jpg,18/02/2020,Packaging,Alcon,,,,,,,,BETAXOLOL (HCL) EYE DROPS 0.25% 5ML,,,,
BISA02,BISA02_20200215_OUT1.jpg,15/02/2020,Packaging,Synco,,,,,,,,BISACODYL RECTAL SUPPOSITORY 10MG,,,,
BISA02,BISA02_20200215_OUT2.jpg,15/02/2020,Content,Synco,,,,,,,,BISACODYL RECTAL SUPPOSITORY 10MG,,,,
BISM07,BISM07_20200406_OUT1.jpg,06/04/2020,Packaging,Aurum Pharmaceuticals Ltd.,,,,,,,,BISMUTH SUBNITRATE + IODOFORM PASTE 20% + 40% 30G,,,,
BISM07,BISM07_20200406_OUT2.jpg,06/04/2020,Content,Aurum Pharmaceuticals Ltd.,,,,,,,,BISMUTH SUBNITRATE + IODOFORM PASTE 20% + 40% 30G,,,,
BONJ01,BONJ01_20200215_OUT1.jpg,15/02/2020,Packaging & Content,Reckitt Benckiser Healthcare ,,,,,,,,BONJELA (OR EQUIV) ORAL GEL 15G,,,,
BONJ01,BONJ01_20200215_OUT2.jpg,15/02/2020,Packaging,Reckitt Benckiser Healthcare ,,,,,,,,BONJELA (OR EQUIV) ORAL GEL 15G,,,,
BONJ01,BONJ01_20200215_OUT3.jpg,15/02/2020,Packaging,Reckitt Benckiser Healthcare ,,,,,,,,BONJELA (OR EQUIV) ORAL GEL 15G,,,,
BONJ01,BONJ01_20200215_OUT4.jpg,15/02/2020,Content,Reckitt Benckiser Healthcare ,,,,,,,,BONJELA (OR EQUIV) ORAL GEL 15G,,,,
BOTU02,BOTU02_20200317_OUT1.jpg,17/03/2020,Packaging,Ipsen Biopharm Ltd.,,,,,,,,BOTULINUM TYPE A TOXIN (DYSPORT) INJECTION 500 U,,,,
BOTU02,BOTU02_20200317_OUT2.jpg,17/03/2020,Packaging,Ipsen Biopharm Ltd.,,,,,,,,BOTULINUM TYPE A TOXIN (DYSPORT) INJECTION 500 U,,,,
BOTU02,BOTU02_20200317_OUT3.jpg,17/03/2020,Packaging,Ipsen Biopharm Ltd.,,,,,,,,BOTULINUM TYPE A TOXIN (DYSPORT) INJECTION 500 U,,,,
BOTU02,BOTU02_20200317_OUT4.jpg,17/03/2020,Content,Ipsen Biopharm Ltd.,,,,,,,,BOTULINUM TYPE A TOXIN (DYSPORT) INJECTION 500 U,,,,
BOTU03,BOTU03_20200317_OUT1.jpg,17/03/2020,Packaging & Content,Allergan,,,,,,,,BOTULINUM TYPE A TOXIN (BOTOX) INJECTION 100 U,,,,
BOTU03,BOTU03_20200317_OUT2.jpg,17/03/2020,Packaging,Allergan,,,,,,,,BOTULINUM TYPE A TOXIN (BOTOX) INJECTION 100 U,,,,
BRIM01,BRIM01_20200218_OUT1.jpg,18/02/2020,Packaging & Content,Allergan,,,,,,,,BRIMONIDINE TARTRATE EYE DROPS 0.15% 5ML,,,,
BRIM01,BRIM01_20200218_OUT2.jpg,18/02/2020,Packaging,Allergan,,,,,,,,BRIMONIDINE TARTRATE EYE DROPS 0.15% 5ML,,,,
BROM03,BROM03_20200109_INN1.jpg,09/01/2020,Loose pill,Synco,BR 8,S,Light Orange,Round,S1,Synco,,BROMHEXINE HCL TABLET 8MG,,,,
BROM03,BROM03_20200109_OUT1.jpg,09/01/2020,Packaging,Synco,,,,,,,,BROMHEXINE HCL TABLET 8MG,,,,
BROM07,BROM07_20200211_INN1.jpg,11/02/2020,Loose pill,Apotex Inc.,2.5,[NOIMPRINT],White,Diamond,S1,,,BROMOCRIPTINE (MESYLATE) TABLET 2.5MG,,,,
BROM07,BROM07_20200211_OUT1.jpg,11/02/2020,Packaging,Apotex Inc.,,,,,,,,BROMOCRIPTINE (MESYLATE) TABLET 2.5MG,,,,
BUDE04,BUDE04_20200220_OUT1.jpg,20/02/2020,Packaging & Content,NTC Pharma,,,,,,,,BUDESONIDE AQUEOUS NAS SPRAY 50MCG/DOSE 200DOSE(S),,,,
BUDE04,BUDE04_20200220_OUT2.jpg,20/02/2020,Packaging,NTC Pharma,,,,,,,,BUDESONIDE AQUEOUS NAS SPRAY 50MCG/DOSE 200DOSE(S),,,,
BUDE04,BUDE04_20200220_OUT3.jpg,20/02/2020,Packaging,NTC Pharma,,,,,,,,BUDESONIDE AQUEOUS NAS SPRAY 50MCG/DOSE 200DOSE(S),,,,
BUDE05,BUDE05_20200215_OUT1.jpg,15/02/2020,Packaging & Content,AstraZeneca,,,,,,,,BUDESONIDE TURBUHALER 200MCG/DOSE 200DOSE(S),,,,
BUDE05,BUDE05_20200215_OUT2.jpg,15/02/2020,Packaging,AstraZeneca,,,,,,,,BUDESONIDE TURBUHALER 200MCG/DOSE 200DOSE(S),,,,
BUDE05,BUDE05_20200215_OUT3.jpg,15/02/2020,Packaging,AstraZeneca,,,,,,,,BUDESONIDE TURBUHALER 200MCG/DOSE 200DOSE(S),,,,
BUDE06,BUDE06_20200220_OUT1.jpg,20/02/2020,Packaging & Content,AstraZeneca,,,,,,,,BUDESONIDE TURBUHALER 100MCG/DOSE 200DOSE(S),,,,
BUDE06,BUDE06_20200220_OUT2.jpg,20/02/2020,Packaging,AstraZeneca,,,,,,,,BUDESONIDE TURBUHALER 100MCG/DOSE 200DOSE(S),,,,
BUDE06,BUDE06_20200220_OUT3.jpg,20/02/2020,Packaging,AstraZeneca,,,,,,,,BUDESONIDE TURBUHALER 100MCG/DOSE 200DOSE(S),,,,
BUDE14,BUDE14_20200211_INN1.jpg,11/02/2020,Loose pill,Tillotts Pharma UK Limited ,CIR 3 mg,[NOIMPRINT],Red; White,Capsule,,,,BUDESONIDE CONTROLLED ILEAL RELEASE CAPSULE 3MG,,,,
BUDE14,BUDE14_20200211_OUT1.jpg,11/02/2020,Packaging,Tillotts Pharma UK Limited ,,,,,,,,BUDESONIDE CONTROLLED ILEAL RELEASE CAPSULE 3MG,,,,
BUDE17,BUDE17_20200215_OUT1.jpg,15/02/2020,Packaging & Content,AstraZeneca,,,,,,,,BUDESONIDE AQUEOUS NAS SPRAY 64MCG/DOSE 120DOSE(S),,,,
BUDE17,BUDE17_20200215_OUT2.jpg,15/02/2020,Packaging,AstraZeneca,,,,,,,,BUDESONIDE AQUEOUS NAS SPRAY 64MCG/DOSE 120DOSE(S),,,,
BUDE24,BUDE24_20200220_OUT1.jpg,20/02/2020,Packaging & Content,AstraZeneca,,,,,,,Inhaler inside,BUDESONIDE 80MCG + FORMOTEROL 4.5MCG INHALER 120DOSE(S),,,,
BUDE24,BUDE24_20200220_OUT2.jpg,20/02/2020,Packaging,AstraZeneca,,,,,,,,BUDESONIDE 80MCG + FORMOTEROL 4.5MCG INHALER 120DOSE(S),,,,
BUDE25,BUDE25_20200215_OUT1.jpg,15/02/2020,Packaging & Content,AstraZeneca,,,,,,,Inhaler inside,BUDESONIDE 160MCG + FORMOTEROL 4.5MCG INHALER 120DOSE(S),,,,
